,text,external_id,error,classifications,error_detail
153,me to ant_olsson and ryan_pulford shall we sort the questions for the marking_man interview tomorrow lads ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.883}]",
154, psrivatsan ahhh but haven had good experience with google hangout meet yet ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.622}]",
155,this cat looks like me in every client google hangout meeting where forget to switch my camera off ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.863}]",
156, robinamoscw esg fund inflows appear to have first started spiking after the bbc blue planet was first aired in october acco ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.866}]",
157, arirang_asc apply to hangout with fent_fanatics next week fanatics_asc arirang_asc hangout ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.84}]",
158, also available on google hangout meet facetime for family houseparty for friends webex and microsoft teams for my governor meetings,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.505}]",
159,google hangout has very appropriate background for the upcoming times ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.766}]",
160, calvin_orion go back to your google hangout titties nerd,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.42}]",
161, keipertc adamboxer the google equivalent of teams hangout chat should work fine too good luck ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.832}]",
162,hmmmm can live stream zoom or google hangout calls need to test ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.883}]",
163, emberskymedia williamoptics is there discord or google hangout for this hobby bit of comradery would be nice ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.727}]",
164, tommohasmylove lyssa if you ever want to talk m here text me call me tweet me indirect me google hangout wi ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.664}]",
165,today while on google hangout with my powerschool kids they couldn guess the hangman word was hannah montana ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.805}]",
166, eveewing one class did it on google hangout and the other on blackboard collaborate which isn video just the pr ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.657}]",
167, dxnkful my phone was in my pocket and accidentally made google hangout meeting scheduled with like four of my teachers hate it here,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.908}]",
168, reubenkihiu the dev hangout giveaway is here free google playstore accounts premium courses and cash prizes up for grabs fill th ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.973}]",
169,with skype guitar lessons the students are able to connect online with eddie through skype or google hangout high ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.783}]",
170, thereal_mbrooks had folks drop off bottle at my apt building then fri make the kits pouring oz tastes in ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.796}]",
171, just want one day where wake up with no google hangout notifications we re supposed to be done already just want peace,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.942}]",
172,after having zoom game night with friends last night and google hangout catch up with my sisters tonight am ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.492}]",
173,having google hangout with two students they are trying to connect with each other on kids messenger one mom an ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.785}]",
174, emresidents join us on est for our covid impact osteopathic amp int medicalstudents dr scott plasner of jeffemres ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.844}]",
175, bengodar if soom wants me to pay more ll jump to webex when use up my time before the paywall comes up ll  ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.872}]",
