,words,value
1468,attending,7
1469,participating,7
1470,them,7
1471,when,7
1472,fun,7
1473,breakfast,7
1474,actfortransit,7
1475,think,7
1476,alone,7
1477,other,7
1478,artgerm,7
1479,hello,7
1480,ve,7
1481,any,7
1482,things,8
1483,exciting,8
1484,designers,8
1485,xr,8
1486,climate,8
1487,café,8
1488,debut,8
1489,opening,8
1490,share,8
1491,co,8
1492,live,8
1493,lol,8
1494,transit,8
1495,covid,8
1496,would,9
1497,don,9
1498,news,9
1499,even,9
1500,need,9
1501,know,9
1502,friday,9
1503,year,9
1504,there,9
1505,last,9
1506,teacher,9
1507,through,9
1508,special,9
1509,guest,9
1510,mrs,9
1511,m,9
1512,she,9
1513,now,9
1514,morning,9
1515,phsfgg,9
1516,another,9
1517,brodytimm,9
1518,his,9
1519,writing,9
1520,soon,9
1521,been,9
1522,use,10
1523,work,10
1524,email,10
1525,together,10
1526,very,10
1527,sessions,10
1528,being,10
1529,tomorrow,10
1530,justingeorge,10
1531,jwpascale,10
1532,tonight,10
1533,play,10
1534,extra,10
1535,doodles,10
1536,some,10
1537,pov,10
1538,mcfeaters,10
1539,joke,10
1540,call,10
1541,ll,10
1542,msaudraabro,10
1543,why,11
1544,got,11
1545,ur,11
1546,tool,11
1547,ocsbathome,11
1548,designersforxr,12
1549,its,12
1550,happy,12
1551,an,12
1552,see,12
1553,pubhealth_,12
1554,anot,12
1555,into,13
1556,by,13
1557,zoom_us,13
1558,two,13
1559,people,13
1560,hrceliteracy,13
1561,che,13
1562,doing,13
1563,thursday,13
1564,learn,13
1565,socially,13
1566,distanced,13
1567,cozy,13
1568,microsoftteams,13
1569,one,14
1570,hosting,14
1571,talk,14
1572,kids,14
1573,kicking,14
1574,hrce,14
1575,literacy,14
1576,social,14
1577,bored,14
1578,rooms,14
1579,get,15
1580,via,15
1581,may,15
1582,audio,15
1583,much,16
1584,online,16
1585,please,16
1586,plan,16
1587,ms,16
1588,office,16
1589,living,16
1590,not,17
1591,having,17
1592,wednesday,17
1593,out,17
1594,had,17
1595,day,17
1596,friends,17
1597,make,17
1598,re,18
1599,who,18
1600,off,18
1601,hours,18
1602,time,19
1603,up,19
1604,more,19
1605,what,19
1606,class,19
1607,has,20
1608,her,20
1609,their,20
1610,do,20
1611,teachers,20
1612,link,21
1613,like,21
1614,great,21
1615,they,21
1616,new,21
1617,students,22
1618,while,22
1619,here,22
1620,ocsb,22
1621,was,24
1622,gt,24
1623,just,25
1624,can,25
1625,meet,25
1626,but,25
1627,chat,26
1628,th,26
1629,am,26
1630,your,28
1631,us,28
1632,join,29
1633,only,29
1634,video,30
1635,come,30
1636,that,31
1637,so,31
1638,virtual,31
1639,will,31
1640,during,31
1641,week,32
1642,as,32
1643,if,33
1644,all,34
1645,meeting,34
1646,or,35
1647,zoom,36
1648,have,37
1649,be,37
1650,about,39
1651,amp,41
1652,it,42
1653,from,47
1654,me,48
1655,at,50
1656,pm,56
1657,are,62
1658,today,62
1659,my,62
1660,this,72
1661,of,73
1662,our,75
1663,in,78
1664,we,79
1665,is,96
1666,on,108
1667,for,113
1668,you,115
1669,with,115
1670,and,160
1671,the,176
1672,to,177
1673,google,324
1674,hangout,331
